Tag Counts:
Tag,Count
Untagged,3977
email,15
sv_P1,4
sv_P4,1
sv_P5,1
sv_P3,1
sv_P2,1

Port/Protocol Combination Counts:
Port,Protocol,Count
65028,icmp,1
19270,tcp,1
10862,tcp,1
10378,udp,1
9836,tcp,1
7681,udp,1
12784,tcp,1
24962,tcp,1
38797,icmp,1
22373,tcp,1
41731,tcp,1
19970,icmp,1
6367,tcp,1
14214,tcp,1
63520,udp,1
14631,udp,1
46547,tcp,1
23059,udp,1
56164,icmp,1
11774,udp,1
49795,tcp,1
43526,icmp,1
34516,udp,1
11730,udp,1
26094,udp,1
2056,udp,1
27133,tcp,1
14127,icmp,1
52178,udp,1
25467,icmp,1
61604,icmp,1
65400,udp,1
38984,icmp,1
41444,icmp,1
62308,icmp,1
14927,tcp,1
48247,udp,1
4065,tcp,1
5960,udp,1
48196,udp,1
4017,udp,1
43527,tcp,1
3498,udp,1
48707,tcp,1
63246,icmp,1
60457,udp,1
33771,udp,1
37217,icmp,1
63768,icmp,1
3576,icmp,1
54674,icmp,1
4464,icmp,1
60772,icmp,1
30698,icmp,1
2966,udp,1
57695,tcp,1
13999,icmp,1
8017,udp,1
15182,icmp,1
6436,tcp,1
2980,icmp,1
15754,icmp,1
56205,icmp,1
58347,udp,1
53248,udp,1
3822,tcp,1
18066,udp,1
1641,icmp,1
40025,tcp,1
9551,icmp,1
11143,tcp,1
34713,icmp,1
7041,icmp,1
12220,icmp,1
57711,icmp,1
4669,tcp,1
25713,tcp,1
44307,tcp,1
7821,icmp,1
27959,udp,1
60092,icmp,1
51041,icmp,1
15180,tcp,1
18131,udp,1
23074,tcp,1
659,icmp,1
52103,icmp,1
24298,icmp,1
38740,udp,1
62562,udp,1
62348,tcp,1
33902,udp,1
35226,udp,1
7013,tcp,1
12885,udp,1
44800,udp,1
49800,tcp,1
55096,icmp,1
33815,icmp,1
52431,udp,1
57123,udp,1
61641,udp,1
49848,tcp,1
19813,udp,1
36431,tcp,1
65372,tcp,1
1488,icmp,1
40498,tcp,1
42631,udp,1
43719,tcp,1
7048,udp,1
48818,tcp,1
20079,udp,1
22785,udp,1
46980,icmp,1
11796,icmp,1
11967,udp,1
40411,icmp,1
14772,udp,1
48137,udp,1
50353,icmp,1
2712,icmp,1
5013,icmp,1
60203,udp,1
22900,tcp,1
56033,udp,1
40519,icmp,1
21934,icmp,1
57839,tcp,1
49318,icmp,1
49529,udp,1
3280,icmp,2
22196,tcp,1
31591,icmp,1
41023,tcp,1
11420,udp,1
19897,tcp,1
6427,icmp,1
33689,udp,1
11786,udp,1
10307,udp,1
46250,tcp,1
31274,icmp,2
30281,tcp,1
55093,icmp,1
27388,icmp,1
1897,tcp,1
21276,tcp,1
3903,tcp,1
64031,icmp,1
53954,tcp,1
63057,udp,1
27232,udp,1
20452,tcp,1
18709,udp,1
5421,udp,1
16345,udp,1
60724,tcp,1
61057,tcp,1
4828,udp,1
4379,tcp,1
61548,tcp,1
43615,udp,1
36501,icmp,1
39399,icmp,1
56654,icmp,1
15036,udp,1
22882,tcp,1
44022,icmp,1
58187,udp,1
51403,icmp,1
25117,tcp,1
33685,tcp,1
27037,udp,1
56385,udp,2
30834,icmp,1
7458,tcp,1
30541,udp,1
10235,tcp,1
5040,tcp,1
1112,udp,1
2718,icmp,1
21089,udp,1
48626,udp,1
51276,icmp,1
19736,udp,1
43778,icmp,1
64470,icmp,1
22354,tcp,1
22065,udp,1
34651,udp,1
33087,icmp,1
25186,tcp,1
12567,icmp,1
33428,tcp,1
47862,icmp,1
35243,udp,1
34067,tcp,1
36240,udp,1
13619,icmp,1
49033,icmp,1
61722,tcp,1
3830,icmp,1
59452,tcp,1
49034,udp,1
25862,udp,1
20290,icmp,1
41707,icmp,1
2134,tcp,1
47910,icmp,1
61727,udp,1
43487,tcp,1
13688,udp,1
64102,udp,1
63960,tcp,1
25841,udp,1
40520,icmp,1
33914,icmp,1
12873,tcp,1
22244,tcp,1
13567,tcp,1
15703,icmp,1
22222,udp,1
64161,tcp,1
28294,icmp,1
60628,tcp,1
48853,icmp,1
57233,icmp,1
56162,udp,1
18128,tcp,1
13109,icmp,1
42527,icmp,1
55117,icmp,1
52531,tcp,1
37655,tcp,1
34622,icmp,1
36418,icmp,1
16973,icmp,1
32631,icmp,1
832,udp,1
39455,icmp,1
12101,tcp,1
63797,icmp,1
41805,icmp,1
54605,tcp,1
58895,udp,1
38160,icmp,1
37366,tcp,1
32934,icmp,1
36840,udp,1
16920,udp,1
5899,udp,1
27704,udp,1
60057,udp,1
26135,udp,1
38804,udp,1
62571,icmp,1
4963,udp,1
23386,udp,1
63992,tcp,1
15625,udp,1
1850,icmp,1
8788,tcp,1
35609,udp,1
61470,udp,1
9242,udp,1
18670,icmp,1
17619,udp,1
35740,icmp,1
50286,icmp,1
55997,icmp,1
11283,udp,1
17996,icmp,1
61571,icmp,1
20787,tcp,1
21866,icmp,1
47593,icmp,1
40657,tcp,1
57874,icmp,1
53332,icmp,1
52142,tcp,1
40913,icmp,1
15084,icmp,1
42544,icmp,1
15765,udp,1
47252,tcp,1
47267,icmp,1
11053,udp,1
46364,udp,1
992,udp,1
24404,icmp,1
7852,icmp,1
37715,udp,1
46842,tcp,1
40022,udp,1
26767,udp,1
55237,tcp,1
26930,icmp,1
5740,icmp,1
9549,udp,1
10061,udp,1
35334,icmp,1
54766,tcp,1
46009,icmp,1
30784,icmp,1
62748,udp,1
46153,tcp,1
34776,udp,1
14438,tcp,1
22100,tcp,1
16351,udp,1
3048,icmp,1
26566,tcp,1
14100,udp,1
34541,udp,1
388,udp,1
19473,icmp,1
13915,udp,1
12356,tcp,1
319,icmp,1
31092,udp,1
49437,tcp,1
5420,tcp,1
10106,icmp,1
62586,icmp,1
18087,tcp,1
19560,tcp,1
7040,udp,1
32185,udp,1
62940,tcp,1
1344,icmp,1
18773,udp,1
62914,tcp,1
48107,icmp,1
40497,icmp,1
13821,icmp,2
40021,udp,1
36350,tcp,1
220,icmp,1
25710,icmp,1
26718,icmp,1
44448,udp,1
23303,udp,1
2317,icmp,1
42949,udp,1
64498,tcp,1
12237,udp,1
59036,tcp,1
21279,udp,1
36909,tcp,1
60036,udp,1
16961,tcp,2
39255,icmp,1
62507,tcp,1
53967,udp,1
60202,icmp,1
61318,udp,1
39929,icmp,1
65021,udp,1
41246,tcp,1
32325,tcp,1
52644,icmp,1
41987,udp,1
61006,icmp,1
42470,tcp,1
37545,udp,1
26828,icmp,1
36504,udp,1
63783,tcp,1
34716,icmp,1
12584,tcp,1
4667,tcp,1
33483,icmp,1
22232,tcp,1
59415,tcp,1
25886,udp,1
25838,tcp,1
15896,icmp,1
22524,icmp,1
50753,tcp,1
10137,tcp,1
17989,tcp,1
21504,udp,1
35325,icmp,1
8192,udp,1
2178,tcp,1
30444,udp,1
20630,tcp,1
52154,udp,1
40590,udp,1
60175,tcp,1
64628,udp,1
35223,tcp,1
18062,udp,1
54069,tcp,1
33189,tcp,1
29186,udp,1
63092,udp,1
65419,tcp,1
31471,udp,1
55919,udp,1
57487,udp,1
5965,tcp,1
24074,udp,1
62756,udp,1
20043,tcp,1
22301,tcp,1
22241,udp,1
47030,udp,1
44159,tcp,1
36465,icmp,1
34234,tcp,1
61668,icmp,1
26072,tcp,1
38306,udp,1
5710,tcp,1
64653,tcp,1
29724,tcp,1
28591,tcp,1
60423,tcp,1
11637,tcp,1
30030,tcp,1
50930,udp,1
43861,udp,1
48273,icmp,1
47388,icmp,1
14617,tcp,1
482,udp,1
28444,tcp,1
46549,udp,1
19075,tcp,1
15913,icmp,1
15802,udp,1
15845,udp,1
24219,tcp,1
10983,icmp,1
33059,icmp,1
41032,tcp,1
14058,tcp,1
22514,icmp,1
28979,icmp,1
35611,icmp,1
38343,icmp,1
35537,icmp,1
17303,icmp,1
7218,udp,1
22220,tcp,1
46566,udp,1
12715,tcp,1
15615,udp,1
41754,tcp,1
5066,tcp,1
31365,udp,1
39449,tcp,2
43727,icmp,1
2777,udp,1
40115,tcp,1
24616,icmp,1
51792,tcp,1
43571,tcp,1
14258,udp,1
58759,icmp,1
35697,tcp,1
55531,icmp,1
10915,tcp,1
42482,udp,1
20099,udp,1
548,udp,1
36745,udp,1
38604,tcp,1
1960,tcp,1
45588,icmp,1
32818,udp,1
50142,icmp,1
10020,tcp,1
25012,udp,1
5936,icmp,1
29196,tcp,1
1752,icmp,1
43632,icmp,1
59487,udp,1
46516,udp,1
23767,icmp,1
57463,icmp,1
27544,tcp,1
18413,udp,1
50329,udp,1
10965,icmp,1
24158,tcp,1
55232,udp,1
65230,tcp,1
62202,icmp,1
34009,icmp,1
39216,udp,1
32194,icmp,1
26302,icmp,1
44659,icmp,1
30344,icmp,1
60467,icmp,1
4791,icmp,1
56189,tcp,1
60443,icmp,1
37100,icmp,1
3230,icmp,1
60336,icmp,1
1972,udp,1
6461,icmp,1
48966,icmp,1
9915,udp,1
1170,icmp,1
14379,icmp,1
54413,tcp,1
59203,udp,1
42658,tcp,1
31381,icmp,1
38193,udp,1
16295,icmp,1
27658,icmp,1
56902,tcp,1
34023,tcp,1
10009,icmp,1
43631,icmp,1
16546,tcp,1
50255,tcp,1
10174,tcp,1
10850,icmp,1
29751,udp,1
44828,tcp,1
49975,tcp,1
50330,tcp,1
11592,icmp,1
51258,icmp,1
43433,icmp,1
23248,icmp,1
50150,icmp,1
4522,tcp,1
8254,udp,1
34883,icmp,1
36962,udp,1
14175,udp,1
35287,tcp,1
58898,icmp,1
10281,icmp,1
60868,icmp,1
63355,icmp,1
46674,icmp,1
63991,udp,1
37988,icmp,1
54332,tcp,1
54859,icmp,1
1574,icmp,1
53081,tcp,1
13696,tcp,1
54081,udp,1
50169,tcp,1
15967,udp,1
7838,udp,1
39137,udp,1
16586,udp,1
61303,udp,1
48753,tcp,1
62235,icmp,1
23608,icmp,1
43381,tcp,1
63119,icmp,1
35552,udp,1
49336,icmp,1
26771,udp,1
34554,tcp,1
13462,udp,1
49119,udp,1
32414,udp,1
5817,udp,1
28093,icmp,1
42378,udp,1
12345,tcp,1
64363,udp,1
29392,udp,1
41157,udp,1
38603,tcp,1
913,icmp,1
47084,udp,1
45780,tcp,1
9915,icmp,1
9848,udp,1
17803,icmp,1
48255,udp,1
36105,udp,1
23654,icmp,1
35284,udp,1
64616,tcp,1
16564,udp,1
7249,udp,1
13884,udp,1
55422,icmp,1
60451,icmp,1
60968,udp,1
15917,udp,1
38001,udp,1
63852,icmp,1
35291,icmp,1
38072,udp,1
13370,icmp,1
50190,tcp,1
34129,tcp,1
8617,tcp,1
37936,tcp,1
51404,tcp,1
48417,icmp,1
59672,udp,1
2643,tcp,1
50914,tcp,1
29154,tcp,1
17234,tcp,1
27454,udp,1
51822,tcp,1
12783,icmp,1
57521,tcp,1
63996,tcp,1
26276,udp,1
63813,udp,1
6313,icmp,1
3882,udp,1
29754,udp,1
50367,tcp,1
6549,icmp,1
11634,udp,1
64030,icmp,1
33441,udp,1
32042,tcp,1
8696,icmp,1
1766,tcp,1
19817,tcp,1
1155,tcp,1
57995,udp,2
56101,udp,1
17301,icmp,1
16838,tcp,1
49079,icmp,1
20902,tcp,1
57708,udp,1
55338,icmp,1
29761,icmp,1
15221,tcp,1
59853,icmp,1
3458,icmp,1
38034,udp,1
18111,udp,1
13383,icmp,1
17410,udp,1
27551,udp,1
62087,udp,1
38223,tcp,1
12345,udp,1
56237,tcp,1
32168,icmp,1
9018,tcp,1
43318,tcp,1
50793,udp,1
51926,icmp,1
12133,udp,1
14519,udp,1
61731,udp,1
17499,tcp,1
1226,udp,1
64262,tcp,1
52788,icmp,1
55126,tcp,1
30158,tcp,1
56569,tcp,1
39180,icmp,1
44141,udp,1
5575,udp,1
45520,udp,1
61001,icmp,1
49278,udp,1
15272,icmp,1
21779,udp,1
28971,icmp,1
12627,udp,1
21143,tcp,1
35847,udp,1
57935,icmp,1
3524,udp,1
7318,tcp,1
45246,udp,1
23641,tcp,1
33488,icmp,1
60372,tcp,1
38313,tcp,1
34205,udp,1
30259,icmp,1
42929,icmp,1
49736,icmp,1
59035,udp,1
62593,icmp,1
36663,udp,1
49024,tcp,1
32897,udp,1
39071,udp,1
27950,tcp,1
53254,udp,1
46527,udp,1
5031,udp,1
57532,tcp,1
2692,tcp,1
27047,udp,1
11006,udp,1
30688,tcp,1
14902,icmp,1
11871,udp,1
1878,udp,1
3538,icmp,1
54073,udp,1
24412,udp,1
10069,icmp,1
47123,udp,1
46483,udp,1
38597,udp,1
45005,udp,1
4959,udp,1
18907,icmp,1
65209,udp,1
30836,udp,1
3739,icmp,1
5014,tcp,1
48054,udp,1
50426,icmp,1
2251,tcp,1
3533,tcp,1
33410,udp,1
9513,tcp,1
28272,icmp,1
14561,tcp,1
6067,icmp,1
20211,udp,1
20574,icmp,1
27035,icmp,1
62685,icmp,1
47437,icmp,1
61523,icmp,1
5762,udp,1
23757,udp,1
64557,udp,1
14943,udp,1
5873,tcp,1
45533,tcp,1
379,tcp,1
21562,udp,1
40520,udp,1
48317,udp,1
60005,tcp,1
27312,icmp,1
54324,udp,1
31289,icmp,1
16229,tcp,2
54102,icmp,1
48898,icmp,1
42612,udp,1
21085,udp,1
36433,udp,1
25806,tcp,1
30764,tcp,1
46629,udp,1
11118,tcp,1
4956,udp,1
55590,tcp,1
25981,tcp,1
40449,tcp,1
4232,tcp,1
9713,tcp,1
20144,tcp,1
16792,tcp,1
33826,udp,1
11317,tcp,1
926,icmp,1
24449,icmp,1
20960,udp,1
5949,udp,1
55801,tcp,1
37833,tcp,1
29401,tcp,1
14523,tcp,2
19713,icmp,1
25463,tcp,1
58789,tcp,1
36527,udp,1
33671,udp,1
19018,tcp,1
33940,icmp,1
63419,udp,1
51297,tcp,1
58159,tcp,1
45918,udp,1
36540,tcp,1
29192,tcp,1
28329,icmp,1
35706,udp,1
35980,icmp,1
5493,tcp,1
58869,tcp,1
63644,udp,1
11719,icmp,1
34909,icmp,1
3146,icmp,1
37031,icmp,1
11891,tcp,1
5134,icmp,1
14352,tcp,1
54592,udp,1
29023,tcp,1
61891,udp,1
62994,tcp,1
24390,tcp,1
35395,udp,1
8757,udp,1
46050,udp,1
21864,icmp,1
2117,icmp,1
12876,tcp,1
45147,udp,1
51288,udp,1
45661,icmp,1
5083,tcp,1
53508,icmp,1
47772,tcp,1
11862,icmp,1
5845,icmp,1
11363,udp,1
26070,tcp,2
38221,icmp,1
33064,udp,1
20893,icmp,1
20675,tcp,1
35120,udp,1
7897,udp,1
40317,tcp,1
193,udp,1
27620,tcp,1
24367,tcp,1
60745,udp,1
41036,tcp,1
22157,icmp,1
48764,tcp,1
3927,icmp,1
46143,udp,1
45973,udp,1
706,tcp,1
4599,icmp,1
51761,udp,1
43464,udp,1
6991,udp,1
30027,icmp,1
63443,tcp,1
29046,tcp,1
9502,udp,1
34806,tcp,1
3471,icmp,1
42808,tcp,1
21765,tcp,1
27189,icmp,1
26083,tcp,1
10462,icmp,1
29587,tcp,1
53095,tcp,1
16293,tcp,1
59854,udp,1
57887,udp,1
22578,tcp,1
11770,tcp,1
35859,udp,1
25937,tcp,1
25433,udp,1
49202,udp,1
48496,icmp,1
54832,icmp,1
61590,tcp,1
27302,icmp,1
871,tcp,1
676,udp,1
14975,tcp,1
23039,udp,1
27488,tcp,1
30366,icmp,1
12352,tcp,1
36622,tcp,1
56091,icmp,1
3612,icmp,1
49871,tcp,1
50428,icmp,1
19108,tcp,1
1477,udp,1
2005,icmp,1
4871,icmp,1
37813,icmp,1
3966,icmp,1
62518,icmp,1
27011,tcp,1
65222,tcp,1
58244,udp,1
28559,icmp,1
52390,udp,1
51812,icmp,1
56196,tcp,1
39377,udp,1
32950,tcp,1
52990,udp,1
51464,udp,1
48800,udp,1
10237,icmp,1
19037,udp,1
48633,tcp,1
20889,icmp,2
40150,icmp,1
37536,icmp,1
33139,icmp,1
4004,tcp,1
34672,icmp,1
22812,tcp,2
44,udp,1
49762,icmp,1
24128,tcp,1
2928,udp,1
3529,tcp,1
60392,udp,1
17423,udp,1
51567,icmp,1
27746,icmp,1
3608,icmp,1
1849,icmp,1
43687,tcp,1
6234,icmp,1
31920,tcp,1
9862,udp,1
7960,udp,1
10797,tcp,2
59413,icmp,1
26838,tcp,1
47407,tcp,1
33438,icmp,1
4457,tcp,1
2161,icmp,1
32438,udp,1
46512,udp,1
1927,tcp,1
47751,tcp,1
32372,icmp,1
53885,tcp,1
32639,tcp,1
27683,udp,1
21039,icmp,1
20738,icmp,1
8016,icmp,1
64196,udp,1
63499,udp,1
11522,udp,1
9896,tcp,1
11563,udp,1
37977,tcp,1
26601,tcp,1
62957,udp,1
53182,udp,1
64437,tcp,1
50878,tcp,1
18857,tcp,1
2396,tcp,1
28312,tcp,1
42491,icmp,1
30145,udp,1
11969,icmp,1
23244,tcp,1
54200,icmp,1
6681,tcp,1
43820,tcp,1
47496,tcp,1
8621,icmp,1
44613,udp,1
49238,udp,1
15983,tcp,1
3654,tcp,1
60123,tcp,1
38265,udp,1
31624,tcp,1
7258,tcp,1
55077,icmp,1
16417,udp,1
65226,tcp,1
60995,icmp,1
30651,icmp,1
6304,icmp,1
48106,udp,1
22437,tcp,1
45209,icmp,1
31364,icmp,1
32382,icmp,1
4277,udp,1
22608,udp,1
62617,icmp,1
21616,udp,1
27385,tcp,1
37824,udp,1
42739,tcp,1
46052,udp,1
31072,icmp,1
45847,tcp,1
48723,tcp,1
19307,udp,1
5447,tcp,1
5037,tcp,1
32804,icmp,1
54962,tcp,1
1439,icmp,1
56520,tcp,1
60004,tcp,1
48834,icmp,1
29285,udp,1
46932,icmp,1
42486,tcp,1
33696,icmp,1
59572,tcp,1
7948,udp,1
65264,tcp,1
3674,tcp,1
28390,icmp,1
62703,icmp,1
49083,icmp,1
25420,udp,1
30627,udp,1
8945,udp,1
49869,icmp,1
36416,tcp,1
26092,udp,1
13582,udp,1
49937,tcp,1
18733,tcp,1
61731,tcp,1
43641,udp,1
24811,icmp,1
18982,udp,1
33154,tcp,1
34627,tcp,1
29453,icmp,1
17109,udp,1
12319,tcp,1
1366,tcp,1
58532,tcp,1
27875,icmp,1
16031,tcp,1
33300,udp,1
28166,tcp,1
27397,icmp,1
30412,icmp,1
24726,icmp,1
1643,icmp,1
57586,icmp,1
35125,tcp,1
56127,icmp,1
27445,icmp,1
14205,icmp,1
23238,tcp,1
14397,tcp,1
28353,tcp,1
59225,tcp,1
391,icmp,1
54648,udp,1
21387,icmp,1
41792,tcp,1
47461,icmp,1
18284,icmp,1
36731,icmp,1
44318,tcp,1
5289,udp,1
5498,udp,1
44408,udp,1
33263,udp,1
21313,tcp,1
58740,tcp,1
60015,tcp,1
35800,icmp,1
50359,icmp,1
48213,udp,1
53351,icmp,1
42558,icmp,1
64951,icmp,1
12844,udp,1
35810,tcp,1
27644,udp,1
40741,icmp,1
8380,udp,1
6827,udp,1
13992,icmp,1
38277,tcp,1
53561,icmp,1
48443,icmp,1
33813,udp,2
59533,tcp,1
2369,tcp,1
10779,icmp,1
44297,udp,1
35681,tcp,1
31816,icmp,1
53328,icmp,1
51646,icmp,1
35946,icmp,1
24634,icmp,1
64560,tcp,1
39385,udp,1
48224,tcp,1
62844,tcp,1
57474,tcp,1
11290,udp,1
52769,udp,1
50012,icmp,1
3396,tcp,1
54335,udp,1
16439,icmp,1
54115,icmp,1
15537,tcp,1
38611,icmp,1
17809,udp,1
59316,tcp,1
11638,udp,1
41014,udp,1
36556,tcp,1
54104,udp,1
30351,tcp,1
55174,udp,1
32921,tcp,1
57862,tcp,1
49522,icmp,1
64768,tcp,1
35181,icmp,1
3495,icmp,1
63179,udp,1
53085,tcp,1
50333,icmp,1
34097,icmp,1
23807,icmp,1
7947,tcp,1
24669,icmp,1
44867,tcp,1
28762,tcp,1
58946,tcp,1
47007,icmp,1
49184,icmp,1
49502,icmp,1
16161,tcp,1
58696,udp,1
22925,udp,1
13523,tcp,1
22077,icmp,1
45464,tcp,1
33285,udp,1
26610,tcp,1
23125,udp,1
9251,icmp,1
16364,udp,1
59420,tcp,1
11572,icmp,1
62858,icmp,1
50549,tcp,1
40802,icmp,1
47447,udp,1
6739,icmp,1
6357,icmp,1
27108,tcp,1
18070,icmp,1
20117,icmp,1
13787,udp,1
12049,udp,1
24391,udp,1
19997,tcp,1
42903,tcp,1
13529,tcp,1
1437,icmp,1
44981,icmp,1
5012,icmp,1
5731,icmp,1
8387,udp,1
22571,udp,1
16419,udp,1
40501,tcp,1
23190,udp,1
53439,udp,1
62601,icmp,1
28815,tcp,1
484,udp,1
58473,tcp,1
4842,icmp,1
32177,udp,1
47450,udp,1
59924,icmp,1
58758,icmp,1
30558,tcp,1
7927,icmp,1
58138,icmp,1
19048,tcp,1
52702,tcp,1
42718,tcp,1
2291,tcp,1
9697,tcp,1
56142,udp,1
5347,tcp,1
37728,udp,1
33288,tcp,1
55025,tcp,1
14336,icmp,1
28035,icmp,1
51662,udp,1
41132,udp,1
65179,udp,1
34326,icmp,1
54804,icmp,1
4841,tcp,1
63513,udp,1
41609,udp,1
40601,icmp,1
60088,icmp,1
64084,tcp,1
50236,udp,1
20995,udp,1
16435,udp,1
33109,icmp,1
38471,tcp,1
39912,udp,1
38812,udp,1
45313,tcp,1
33369,icmp,1
64899,udp,1
28900,udp,1
56778,tcp,1
43352,tcp,1
39790,icmp,1
25436,udp,1
38896,tcp,1
724,tcp,1
11278,icmp,1
41530,udp,1
64255,icmp,1
59890,tcp,1
24562,tcp,1
10436,udp,1
9620,udp,1
7678,icmp,1
13360,udp,1
59029,udp,1
39452,tcp,1
23370,tcp,1
6214,icmp,1
58044,udp,1
26476,tcp,1
22693,udp,1
27557,udp,1
48883,udp,1
30439,icmp,1
8369,udp,1
1146,tcp,1
23105,icmp,1
49561,udp,1
23401,tcp,1
5661,tcp,1
44218,udp,1
26470,icmp,1
44979,tcp,1
43944,tcp,1
41775,tcp,1
35333,udp,1
31420,udp,1
10138,tcp,1
24999,icmp,1
7793,udp,1
56393,icmp,1
37945,udp,1
58116,icmp,1
46882,udp,1
278,tcp,1
29234,icmp,1
27296,tcp,1
1799,tcp,1
19165,tcp,1
31921,icmp,1
29281,tcp,2
20097,tcp,1
38691,tcp,1
24036,tcp,1
64213,tcp,1
25154,tcp,1
20654,tcp,2
46758,icmp,1
46740,tcp,1
26516,tcp,1
21801,tcp,1
12204,udp,1
56990,icmp,1
12346,icmp,1
54960,tcp,1
30466,udp,1
28922,icmp,1
48424,udp,1
39963,tcp,1
11254,icmp,1
48049,tcp,1
43111,icmp,1
36230,icmp,1
4174,udp,1
47528,tcp,1
37318,tcp,1
52850,icmp,1
56852,icmp,1
16303,tcp,1
18664,icmp,1
61703,icmp,1
27422,udp,1
46895,udp,1
29638,udp,1
22597,icmp,1
15837,icmp,1
28813,icmp,1
3515,tcp,1
46286,tcp,1
6559,udp,1
42937,udp,1
28016,icmp,1
41605,icmp,1
31727,icmp,1
26688,udp,1
24164,udp,1
20465,tcp,1
42324,icmp,1
47329,icmp,1
34592,icmp,1
5282,icmp,1
39575,icmp,1
45953,udp,1
1030,udp,1
50506,tcp,1
30690,udp,1
21627,tcp,1
8934,tcp,1
52083,udp,1
43513,udp,1
16933,icmp,1
60376,icmp,1
51489,tcp,2
26093,tcp,1
46452,icmp,1
48262,udp,1
50603,tcp,1
16804,icmp,1
49043,icmp,1
62889,tcp,1
4680,tcp,1
22598,icmp,1
2217,udp,1
6625,icmp,1
12627,icmp,1
45553,udp,1
27158,icmp,1
8796,icmp,1
29109,udp,1
52899,icmp,1
58671,tcp,1
17029,icmp,1
29979,udp,1
46603,udp,1
63755,tcp,1
45952,udp,1
28086,icmp,1
58459,icmp,1
43546,udp,1
43456,icmp,1
47899,tcp,1
8400,udp,1
54124,icmp,1
16202,tcp,1
9877,icmp,1
21793,udp,1
15447,udp,1
65132,udp,1
33630,udp,1
12929,tcp,1
46033,icmp,1
20474,icmp,1
34342,udp,1
51772,udp,1
14179,tcp,1
12111,udp,1
59266,tcp,1
16683,icmp,1
36410,icmp,1
14528,tcp,1
3774,icmp,1
8611,tcp,1
59403,tcp,1
7592,tcp,1
25582,tcp,1
42623,tcp,1
14574,tcp,1
50301,icmp,1
21560,icmp,1
46877,udp,1
56905,icmp,1
2682,icmp,1
49590,tcp,1
58402,tcp,1
50269,icmp,1
45189,tcp,1
17710,tcp,1
37005,udp,1
4845,udp,1
