dstport,protocol,tag
23220,UDP,sv_P5
35096,tcp,email
23447,icmp,sv_P1
7716,udp,sv_P3
64435,TCP,sv_P4
8135,icmp,sv_P3
5836,udp,email
33344,ICMP,email
56799,icmp,email
64384,udp,sv_P3
63772,UDP,sv_P2
3903,UDP,sv_P2
62851,icmp,email
33708,udp,sv_P1
34809,tcp,email
53933,TCP,sv_P1
21774,UDP,sv_P2
62685,tcp,sv_P1
2353,TCP,sv_P5
7602,TCP,sv_P4
5851,UDP,email
26784,icmp,email
20037,icmp,email
34447,udp,sv_P4
59267,TCP,sv_P5
64005,TCP,sv_P3
7050,udp,sv_P4
63948,UDP,email
50137,udp,email
3705,icmp,sv_P4
62416,icmp,sv_P5
50567,UDP,email
39324,ICMP,email
35815,TCP,sv_P2
8894,icmp,email
22079,ICMP,email
15234,udp,email
17115,icmp,email
37020,icmp,email
5079,tcp,email
42226,ICMP,email
60724,icmp,sv_P3
61446,ICMP,sv_P5
63956,icmp,email
58052,icmp,sv_P4
5188,icmp,email
26300,UDP,sv_P2
63196,TCP,sv_P5
17707,tcp,email
56665,TCP,email
63082,tcp,sv_P1
46616,TCP,sv_P2
50695,UDP,sv_P1
29732,ICMP,email
51219,udp,sv_P2
19321,icmp,email
17753,tcp,email
10897,udp,email
37180,tcp,email
42003,tcp,sv_P2
50469,udp,sv_P3
52882,ICMP,sv_P3
10592,udp,email
27804,udp,email
40061,icmp,email
26587,icmp,sv_P1
24548,tcp,email
53571,udp,email
15050,icmp,email
42734,icmp,email
48032,icmp,email
18132,UDP,sv_P1
46441,tcp,sv_P5
41486,ICMP,sv_P4
25896,ICMP,sv_P5
35176,TCP,email
17294,TCP,email
34216,UDP,sv_P3
44587,icmp,sv_P4
35193,icmp,sv_P1
59741,TCP,email
10666,tcp,email
7590,ICMP,sv_P1
7986,UDP,email
2925,ICMP,sv_P4
49244,udp,email
52221,udp,email
25631,icmp,email
46974,icmp,email
53348,tcp,sv_P3
44869,ICMP,sv_P2
32203,tcp,sv_P4
31297,tcp,sv_P3
43162,TCP,email
50922,UDP,email
56767,TCP,email
31770,icmp,email
6664,UDP,email
48790,icmp,sv_P2
22203,TCP,email
35455,UDP,sv_P4
31111,udp,email
55352,udp,sv_P4
22111,TCP,email
19707,icmp,email
22722,udp,sv_P3
14679,tcp,email
34016,TCP,sv_P2
22327,UDP,sv_P2
38595,UDP,sv_P5
57100,TCP,sv_P4
57591,udp,sv_P4
7875,UDP,email
9627,TCP,email
1427,icmp,sv_P3
22604,UDP,sv_P5
31255,UDP,sv_P2
65483,ICMP,sv_P1
51066,tcp,email
27276,icmp,sv_P1
6212,icmp,email
60647,tcp,sv_P2
40428,TCP,email
48637,icmp,email
20305,tcp,sv_P5
43569,ICMP,sv_P1
53410,TCP,sv_P3
37696,icmp,sv_P1
19203,ICMP,sv_P4
14774,TCP,email
48838,TCP,sv_P2
46092,TCP,email
28100,icmp,sv_P5
32197,udp,email
40440,ICMP,email
1310,UDP,sv_P2
36847,UDP,sv_P3
48852,icmp,sv_P5
37804,udp,email
46017,UDP,sv_P1
15190,ICMP,email
63850,udp,sv_P1
23210,udp,email
8424,tcp,sv_P2
29172,UDP,email
47044,icmp,email
46493,TCP,email
21733,ICMP,email
39684,icmp,sv_P3
11842,icmp,email
56741,tcp,sv_P2
49675,tcp,sv_P5
50891,tcp,sv_P1
22949,udp,email
56793,tcp,email
64540,udp,email
53889,tcp,email
3533,TCP,email
8280,ICMP,email
6789,ICMP,email
19389,udp,email
48848,tcp,email
6142,tcp,sv_P3
20185,TCP,email
13371,tcp,email
42249,udp,email
26696,ICMP,sv_P3
34415,udp,email
56886,ICMP,sv_P2
53160,tcp,sv_P5
44506,ICMP,email
61965,TCP,sv_P3
28517,icmp,sv_P1
42133,icmp,email
18014,TCP,sv_P3
55674,tcp,email
5295,tcp,sv_P3
19559,icmp,email
13509,tcp,email
38381,tcp,email
54291,udp,email
40475,TCP,email
49682,UDP,email
20567,UDP,sv_P5
61593,tcp,sv_P3
63374,udp,sv_P2
64716,icmp,email
11524,tcp,sv_P2
45915,ICMP,sv_P3
10794,tcp,email
60483,icmp,sv_P1
4967,tcp,sv_P4
34839,TCP,sv_P5
63329,tcp,email
29550,TCP,email
33105,TCP,email
41993,TCP,email
12810,TCP,sv_P4
55321,ICMP,email
15670,tcp,sv_P3
195,UDP,email
54770,ICMP,email
26861,icmp,email
8410,tcp,email
24518,TCP,sv_P4
39501,udp,sv_P4
16952,icmp,sv_P1
30074,icmp,sv_P4
47240,udp,email
11163,tcp,sv_P1
42114,udp,email
4238,ICMP,sv_P4
17679,tcp,sv_P4
16560,UDP,email
9347,TCP,sv_P4
10621,tcp,sv_P3
9546,UDP,sv_P5
58925,udp,email
44924,UDP,sv_P3
30212,TCP,email
62240,tcp,sv_P5
43587,tcp,sv_P4
23069,tcp,sv_P4
47511,tcp,email
64964,UDP,email
27212,ICMP,email
57973,icmp,sv_P4
45660,tcp,sv_P5
31194,icmp,email
26746,TCP,sv_P4
33711,udp,email
35988,UDP,email
9085,ICMP,email
29718,TCP,sv_P3
12324,UDP,email
13313,udp,sv_P5
55832,TCP,sv_P1
46588,tcp,email
36575,udp,sv_P1
43226,udp,sv_P2
40689,ICMP,sv_P2
23753,icmp,sv_P5
8818,TCP,email
27800,icmp,sv_P1
59439,ICMP,email
61608,ICMP,email
36270,TCP,email
60577,UDP,sv_P5
43497,tcp,email
48393,UDP,sv_P3
29655,TCP,email
8877,ICMP,email
20963,ICMP,sv_P5
15985,udp,email
14010,icmp,email
31384,TCP,email
38102,udp,email
18337,ICMP,sv_P4
58351,udp,email
33265,ICMP,sv_P5
8263,TCP,email
49921,UDP,sv_P3
50965,UDP,email
845,ICMP,sv_P3
14635,udp,sv_P3
29994,UDP,sv_P4
33893,tcp,email
45573,tcp,sv_P1
476,udp,sv_P4
59265,UDP,email
42800,icmp,sv_P3
35219,UDP,email
36501,ICMP,email
4753,udp,email
33034,udp,email
60128,TCP,email
18979,icmp,email
6524,udp,sv_P2
36051,udp,email
55555,icmp,email
58983,icmp,email
2436,ICMP,email
23725,icmp,sv_P4
48877,icmp,sv_P1
4624,UDP,sv_P1
877,tcp,sv_P2
40008,UDP,sv_P4
52349,tcp,sv_P3
26629,ICMP,sv_P1
59256,udp,email
3265,tcp,email
50602,tcp,email
45676,UDP,email
21723,udp,email
59889,ICMP,sv_P1
50298,udp,sv_P1
44723,UDP,email
16091,TCP,email
11623,UDP,sv_P3
28265,TCP,email
53955,tcp,email
37348,UDP,sv_P5
29622,ICMP,email
21069,udp,email
3730,ICMP,email
56956,icmp,sv_P5
47606,tcp,email
44949,ICMP,sv_P5
57976,UDP,sv_P2
42816,tcp,email
11099,UDP,email
47481,ICMP,email
43207,tcp,email
30825,ICMP,email
44627,TCP,email
42058,tcp,email
4189,tcp,sv_P5
32076,icmp,sv_P1
48333,UDP,sv_P2
43895,icmp,email
65360,icmp,sv_P3
55966,TCP,email
61069,icmp,sv_P2
15277,ICMP,email
55560,UDP,sv_P2
49073,tcp,email
54458,UDP,sv_P2
49471,UDP,email
932,udp,sv_P4
6694,TCP,email
58221,udp,email
61280,TCP,email
9590,TCP,email
19392,tcp,sv_P5
1197,TCP,sv_P1
12371,TCP,email
6763,udp,email
17347,UDP,email
5882,tcp,email
65129,UDP,sv_P2
22482,TCP,sv_P4
19128,tcp,sv_P2
62494,UDP,sv_P4
40527,icmp,email
3865,UDP,sv_P5
10908,TCP,email
19479,TCP,sv_P1
54204,TCP,sv_P5
65377,ICMP,email
40059,ICMP,email
40364,UDP,email
11776,udp,email
34437,UDP,sv_P4
63652,ICMP,sv_P5
48323,tcp,email
13805,icmp,sv_P4
31351,UDP,email
8313,ICMP,sv_P3
13372,ICMP,email
63454,UDP,sv_P5
34198,icmp,sv_P1
65210,udp,email
12419,udp,sv_P5
34315,tcp,email
48442,icmp,sv_P2
31292,tcp,email
12828,icmp,email
62594,ICMP,email
60210,ICMP,sv_P3
38302,ICMP,email
29709,icmp,email
21726,ICMP,email
30531,icmp,email
14795,udp,email
53427,UDP,sv_P2
14011,tcp,email
48354,UDP,sv_P5
35592,ICMP,sv_P3
50342,icmp,email
61192,ICMP,email
24550,tcp,sv_P1
42049,tcp,sv_P1
15218,ICMP,email
4360,icmp,sv_P5
53407,icmp,sv_P5
18546,ICMP,sv_P3
2191,ICMP,email
12173,udp,sv_P4
56706,UDP,sv_P4
2783,UDP,sv_P1
14906,UDP,email
28148,ICMP,email
2645,icmp,sv_P4
31845,udp,email
63571,TCP,email
4148,TCP,email
2413,icmp,sv_P5
40361,udp,email
16709,TCP,email
3081,udp,sv_P2
9565,icmp,sv_P4
64735,icmp,email
24087,tcp,email
62751,tcp,email
37881,ICMP,email
41211,tcp,email
13583,UDP,email
24178,icmp,email
44875,UDP,sv_P4
63446,TCP,email
16186,tcp,email
2062,tcp,sv_P3
65205,ICMP,sv_P1
65166,UDP,email
61531,icmp,email
36778,tcp,sv_P2
53593,UDP,sv_P4
62936,tcp,sv_P4
5698,TCP,email
10307,icmp,sv_P3
46352,tcp,email
42206,TCP,email
36752,TCP,email
58908,TCP,email
8924,icmp,email
541,UDP,email
48793,TCP,sv_P3
23194,ICMP,email
50648,udp,email
2559,icmp,sv_P4
38883,tcp,email
35516,UDP,email
48698,ICMP,sv_P4
18027,TCP,sv_P2
24713,TCP,sv_P5
27632,icmp,sv_P4
56884,UDP,sv_P4
7520,icmp,sv_P1
42072,udp,sv_P4
12618,ICMP,email
16071,ICMP,sv_P5
41440,ICMP,email
60872,icmp,sv_P3
10289,udp,sv_P1
29202,TCP,email
37379,UDP,email
54981,TCP,sv_P2
20908,icmp,email
60143,ICMP,sv_P3
51006,udp,email
43939,UDP,sv_P3
49695,tcp,email
25802,icmp,email
49945,ICMP,sv_P1
10332,ICMP,email
60831,TCP,sv_P3
35033,udp,sv_P1
20883,udp,email
52548,TCP,sv_P1
64202,UDP,sv_P5
31740,udp,email
43239,icmp,email
22596,tcp,email
42441,ICMP,email
52501,ICMP,email
30509,udp,email
44995,udp,sv_P5
8406,icmp,sv_P3
51217,TCP,email
221,icmp,email
36681,tcp,sv_P1
2339,icmp,sv_P3
26664,TCP,email
59103,icmp,email
9276,udp,email
58647,tcp,sv_P2
40868,TCP,sv_P2
24709,udp,sv_P2
2358,tcp,sv_P3
55296,TCP,email
20705,UDP,email
17738,tcp,email
10172,TCP,email
37082,UDP,email
10233,tcp,email
38396,icmp,sv_P3
46497,tcp,email
4365,udp,sv_P2
51385,udp,email
11144,UDP,email
57286,icmp,email
47344,tcp,email
14147,tcp,email
42233,tcp,email
57658,tcp,sv_P2
59892,tcp,sv_P5
12466,tcp,email
31666,UDP,sv_P2
52279,ICMP,email
59850,udp,sv_P3
4348,udp,email
54147,tcp,sv_P1
60496,ICMP,email
23901,TCP,email
1889,icmp,sv_P4
55456,udp,sv_P3
62665,TCP,sv_P3
46274,udp,email
45841,TCP,sv_P1
34095,icmp,sv_P1
55090,UDP,email
34958,ICMP,email
56096,ICMP,sv_P3
47081,ICMP,sv_P1
366,udp,sv_P1
64997,udp,email
34985,udp,email
38083,icmp,email
59113,udp,email
3738,ICMP,sv_P2
38734,tcp,email
45910,udp,sv_P5
32899,udp,email
48560,UDP,email
13732,ICMP,email
48323,tcp,sv_P5
1885,TCP,sv_P5
4263,tcp,sv_P1
17237,udp,sv_P5
50395,UDP,sv_P3
40976,TCP,sv_P4
52416,icmp,email
65234,ICMP,sv_P2
35324,icmp,email
48412,ICMP,email
4871,tcp,sv_P2
32743,icmp,email
55052,tcp,sv_P5
10171,tcp,email
44326,UDP,sv_P5
6389,TCP,email
58706,udp,email
2858,udp,email
50852,ICMP,sv_P5
8061,udp,email
24404,icmp,email
47242,tcp,email
8103,UDP,sv_P2
57065,icmp,sv_P1
8204,icmp,email
9535,ICMP,email
8905,tcp,sv_P3
36008,UDP,sv_P5
8243,ICMP,email
39560,udp,email
14986,icmp,email
60908,udp,email
9382,udp,sv_P1
4634,icmp,sv_P3
45256,ICMP,sv_P4
48165,TCP,sv_P1
8244,UDP,email
45482,UDP,sv_P3
18645,icmp,email
56667,udp,sv_P3
46535,icmp,email
10935,udp,email
65191,UDP,sv_P4
34727,UDP,sv_P2
55694,TCP,sv_P5
42359,ICMP,sv_P3
42227,ICMP,sv_P5
59855,ICMP,sv_P2
54831,ICMP,email
42530,udp,sv_P1
10095,tcp,sv_P5
22955,icmp,sv_P5
59936,udp,email
637,UDP,sv_P4
61431,TCP,email
12476,TCP,email
32017,ICMP,email
27592,ICMP,sv_P5
3965,UDP,sv_P5
16480,UDP,email
12267,udp,email
16724,udp,email
13359,UDP,email
35015,ICMP,email
37771,ICMP,email
10000,udp,email
25677,UDP,email
14916,ICMP,sv_P3
21800,ICMP,email
64765,ICMP,sv_P5
23257,tcp,email
12096,tcp,sv_P2
59742,udp,sv_P2
19696,TCP,sv_P1
36765,TCP,sv_P1
18728,tcp,sv_P2
30873,UDP,email
12429,ICMP,email
18883,UDP,sv_P3
63849,icmp,email
51742,ICMP,email
61293,ICMP,sv_P4
49982,tcp,sv_P1
62812,TCP,email
11624,udp,sv_P2
34685,icmp,email
32039,TCP,sv_P2
56741,TCP,email
40915,tcp,email
33561,ICMP,sv_P4
15083,icmp,email
65099,TCP,sv_P3
61169,TCP,email
1567,TCP,email
24692,UDP,email
29562,tcp,sv_P4
27951,ICMP,email
34233,icmp,sv_P2
34400,TCP,sv_P4
53796,icmp,sv_P4
4883,udp,email
751,tcp,sv_P4
38325,ICMP,email
16258,TCP,sv_P1
26852,ICMP,email
153,tcp,sv_P3
55222,icmp,sv_P1
24601,TCP,email
43710,TCP,sv_P2
40662,tcp,sv_P3
61347,icmp,sv_P1
29246,tcp,sv_P2
15747,ICMP,email
54481,UDP,sv_P2
16372,TCP,sv_P4
58255,tcp,email
51287,udp,sv_P2
33415,ICMP,email
45045,tcp,sv_P1
65019,ICMP,email
50173,TCP,sv_P5
23246,tcp,sv_P5
49359,ICMP,sv_P4
28914,tcp,email
8300,udp,email
5950,tcp,email
25893,icmp,email
57410,UDP,sv_P4
38799,udp,email
49999,icmp,sv_P4
45366,icmp,sv_P2
55630,icmp,sv_P5
4252,TCP,email
63736,icmp,sv_P5
51493,icmp,sv_P4
14326,icmp,email
39482,udp,email
33016,UDP,sv_P5
2572,udp,sv_P1
19959,icmp,email
28356,TCP,sv_P4
16688,ICMP,email
1320,UDP,email
4560,ICMP,sv_P3
49865,UDP,email
65276,icmp,email
22493,ICMP,sv_P2
4072,icmp,sv_P4
63380,TCP,email
37664,UDP,sv_P1
34761,udp,sv_P3
29038,UDP,email
35743,TCP,email
17049,UDP,sv_P2
52400,TCP,sv_P4
17168,TCP,sv_P4
39167,ICMP,email
32629,UDP,email
21897,icmp,sv_P3
53611,udp,sv_P2
6778,icmp,sv_P5
42372,TCP,sv_P4
52446,TCP,sv_P1
13720,UDP,email
27150,tcp,email
